date,open,high,low,close,volume
2024-02-08,1.263200044631958,1.2635999917984009,1.2574000358581543,1.2617000341415405,525
2024-02-09,1.2616000175476074,1.26419997215271,1.2603000402450562,1.2628999948501587,168
2024-02-12,1.2634999752044678,1.2654000520706177,1.2610000371932983,1.2625000476837158,171
2024-02-13,1.2624000310897827,1.2676000595092773,1.2574000358581543,1.2574000358581543,525
2024-02-14,1.2589000463485718,1.2604000568389893,1.2538000345230103,1.256100058555603,314
2024-02-15,1.256100058555603,1.2599999904632568,1.25409996509552,1.259600043296814,383
2024-02-16,1.2589000463485718,1.2589000463485718,1.2558000087738037,1.2580000162124634,82359
2024-02-20,1.260599970817566,1.2669999599456787,1.2581000328063965,1.2620999813079834,140720
2024-02-21,1.2623000144958496,1.2644000053405762,1.2604000568389893,1.2632999420166016,63774
2024-02-22,1.2640000581741333,1.271399974822998,1.261299967765808,1.2661999464035034,147398
2024-02-23,1.2662999629974365,1.270400047302246,1.2651000022888184,1.267699956893921,73251
2024-02-26,1.2674000263214111,1.2702000141143799,1.2657999992370605,1.2680000066757202,53899
2024-02-27,1.2685999870300293,1.2698999643325806,1.2661999464035034,1.2682000398635864,63424
2024-02-28,1.2687000036239624,1.2687000036239624,1.2623000144958496,1.2654999494552612,84867
2024-02-29,1.2660000324249268,1.2683000564575195,1.261299967765808,1.2613999843597412,116033
2024-03-01,1.2624000310897827,1.2664999961853027,1.2599999904632568,1.2663999795913696,95471
2024-03-04,1.2654999494552612,1.270900011062622,1.2654999494552612,1.2691999673843384,73799
2024-03-05,1.2691999673843384,1.2736999988555908,1.267199993133545,1.270300030708313,80340
2024-03-06,1.2710000276565552,1.2762999534606934,1.2690999507904053,1.2741999626159668,88417
2024-03-07,1.2732000350952148,1.2812000513076782,1.2724000215530396,1.2806999683380127,97707
2024-03-08,1.2811000347137451,1.2893999814987183,1.2802000045776367,1.2857999801635742,140525
2024-03-11,1.2862000465393066,1.2862999439239502,1.2796000242233276,1.2806999683380127,135895
2024-03-12,1.2812000513076782,1.2824000120162964,1.2742999792099,1.2791999578475952,190611
2024-03-13,1.2789000272750854,1.2812000513076782,1.277500033378601,1.2795000076293945,184211
2024-03-14,1.2799999713897705,1.2822999954223633,1.2730000019073486,1.274999976158142,139388
2024-03-15,1.2750999927520752,1.2759000062942505,1.2726999521255493,1.273800015449524,26595
2024-03-18,1.2733999490737915,1.2746000289916992,1.2727999687194824,1.2735999822616577,665
2024-03-19,1.2723000049591064,1.2733999490737915,1.2668999433517456,1.2725000381469727,238
2024-03-20,1.2718000411987305,1.2785999774932861,1.2685999870300293,1.2782000303268433,1026
2024-03-21,1.2788000106811523,1.2803000211715698,1.2654000520706177,1.2659000158309937,1361
2024-03-22,1.2656999826431274,1.2674000263214111,1.2577999830245972,1.2591999769210815,1758
2024-03-25,1.2597999572753906,1.2652000188827515,1.2595000267028809,1.2639000415802002,512
2024-03-26,1.263700008392334,1.2666000127792358,1.2625999450683594,1.2627999782562256,234
2024-03-27,1.2623000144958496,1.263800024986267,1.2604999542236328,1.2632999420166016,234
2024-03-28,1.2634999752044678,1.2652000188827515,1.2587000131607056,1.2623000144958496,454
